# year, Ptot_c_result_anom
2018.6219178082192,-5.7693377
2018.704109589041,-5.9642906
2018.7890410958903,-9.232998
2018.8712328767124,-14.858131
2018.9561643835616,-10.543087
2019.041095890411,-5.4146185
2019.1205479452055,-3.4485245
2019.2027397260274,-1.9214604
2019.2849315068493,-0.41912603
2019.3698630136987,-0.16620398
2019.4520547945206,-2.286974
2019.5369863013698,-3.9181566
2019.6219178082192,-10.377286
2019.704109589041,-15.422073
2019.7890410958903,-17.192486
2019.8712328767124,-14.244025
2019.9561643835616,-8.740959
2020.0409836065573,-4.080416
2020.122950819672,-2.3178942
2020.204918032787,-1.1185105
2020.2868852459017,0.3525405
2020.3715846994535,-0.06880045
2020.4535519125684,-3.5570574
2020.5382513661202,-4.5986614
2020.622950819672,-4.9011173
2020.704918032787,-6.2968884
2020.7896174863388,-9.229637
2020.8715846994535,-10.546528
2020.9562841530055,-7.3169794
2021.041095890411,-3.6982756
2021.1205479452055,-2.3652065
2021.2027397260274,-1.0682077
2021.2849315068493,0.39354563
2021.3698630136987,0.55724764
2021.4520547945206,-4.1307964
2021.5369863013698,-8.495684
2021.6219178082192,-13.342519
2021.704109589041,-14.860658
2021.7890410958903,-12.139797
2021.8712328767124,-12.466584
2021.9561643835616,-8.106311
2022.041095890411,-4.1131234
2022.1205479452055,-2.721004
2022.2027397260274,-1.4830489
2022.2849315068493,-0.708442
2022.3698630136987,-0.47545576
2022.4520547945206,-3.0099664
2022.5369863013698,-5.4993725
2022.6219178082192,-9.851562
2022.704109589041,-10.797754
2022.7890410958903,-8.721197
2022.8712328767124,-7.419792
2022.9561643835616,-6.78765
2023.041095890411,-2.6123872
2023.1205479452055,-1.9231868
2023.2027397260274,-1.1212721
2023.2849315068493,-0.6868448
2023.3698630136987,-0.51675797
2023.4520547945206,-3.8001652
2023.5369863013698,-4.458252
2023.6219178082192,-4.4541016
2023.704109589041,-4.2463512
2023.7890410958903,-11.949324
2023.8712328767124,-14.210842
2023.9561643835616,-9.671881
2024.0409836065573,-4.566285
2024.122950819672,-2.7230756
2024.204918032787,-1.2684243
2024.2868852459017,0.5028672
2024.3715846994535,0.7002206
2024.4535519125684,-1.6165524
2024.5382513661202,-1.6113787
2024.622950819672,-4.5659943
2024.704918032787,-11.36688
2024.7896174863388,-14.405277
2024.8715846994535,-14.232393
2024.9562841530055,-9.814181
2025.041095890411,-5.28347
2025.1205479452055,-3.1826644
2025.2027397260274,-1.7550275
2025.2849315068493,-0.32814384
2025.3698630136987,0.07634735
2025.4520547945206,-4.2096963
2025.5369863013698,-7.121165
2025.6219178082192,-7.456749
2025.704109589041,-8.330921
2025.7890410958903,-6.7686367
2025.8712328767124,-4.8592854
2025.9561643835616,-5.156371
2026.041095890411,-1.394753
2026.1205479452055,-0.95065355
2026.2027397260274,-0.59122205
2026.2849315068493,-0.1581037
2026.3698630136987,-0.44964027
2026.4520547945206,-3.8264966
2026.5369863013698,-6.554658
2026.6219178082192,-6.80425
2026.704109589041,-6.727293
2026.7890410958903,-11.611385
2026.8712328767124,-11.902198
2026.9561643835616,-8.492636
2027.041095890411,-4.630228
2027.1205479452055,-3.0889168
2027.2027397260274,-2.086463
2027.2849315068493,-1.2233183
2027.3698630136987,-0.6983299
2027.4520547945206,-3.4022794
2027.5369863013698,-7.100645
2027.6219178082192,-10.868077
2027.704109589041,-10.510258
2027.7890410958903,-8.224339
2027.8712328767124,-11.690739
2027.9561643835616,-8.506806
2028.0409836065573,-4.415373
2028.122950819672,-2.7027655
2028.204918032787,-1.4480011
2028.2868852459017,-0.24887228
2028.3715846994535,-0.3674302
2028.4535519125684,-3.0174804
2028.5382513661202,-4.2105837
2028.622950819672,-7.3278
2028.704918032787,-6.3165035
2028.7896174863388,-7.769766
2028.8715846994535,-12.806495
2028.9562841530055,-9.693726
2029.041095890411,-5.574216
2029.1205479452055,-3.5247865
2029.2027397260274,-1.7777743
2029.2849315068493,0.12709284
2029.3698630136987,0.7234478
2029.4520547945206,-3.2796478
2029.5369863013698,-5.4892406
2029.6219178082192,-8.800284
2029.704109589041,-8.404438
2029.7890410958903,-10.186596
