# year, O3_TA_anom
1983.150684931507,2.1293945
1983.1534246575343,2.355957
1983.1561643835616,3.0314941
1983.158904109589,2.5290527
1983.1616438356164,1.0151367
1983.164383561644,0.8876953
1983.1671232876713,2.5827637
1983.1698630136987,4.5446777
1983.172602739726,4.198242
1983.1753424657534,4.9333496
1983.1780821917807,4.892578
1983.1808219178083,0.23364258
1983.1835616438357,0.5727539
1983.186301369863,3.4606934
1983.1890410958904,4.6955566
1983.1917808219177,3.933838
1983.194520547945,4.1401367
1983.1972602739727,3.8544922
1983.2,-3.9821777
1983.2027397260274,0.84033203
1983.2054794520548,4.1574707
1983.2082191780821,3.9260254
1983.2109589041097,0.024902344
1983.213698630137,1.7209473
1983.2164383561644,3.6398926
1983.2191780821918,1.3212891
1983.2219178082191,1.9260254
1983.2246575342465,3.3649902
1983.227397260274,1.5471191
1983.2301369863014,1.3603516
1983.2328767123288,-0.94970703
1983.2356164383561,-0.63964844
1983.2383561643835,1.8718262
1983.2410958904109,1.375
1983.2438356164384,0.6960449
1983.2465753424658,-2.1958008
1983.2493150684932,-2.932129
1983.2520547945205,-1.7697754
1983.2547945205479,-0.4543457
1983.2575342465752,-0.6376953
1983.2602739726028,-6.937256
1983.2630136986302,-4.5737305
1983.2657534246575,-1.0224609
1983.268493150685,-5.272461
1983.2712328767122,-5.9138184
1983.2739726027398,-3.9145508
1983.2767123287672,-8.141602
1983.2794520547945,-5.559326
1983.282191780822,-3.9101562
1983.2849315068493,-4.8830566
1983.2876712328766,-8.23584
1983.2904109589042,-3.7631836
1983.2931506849316,-6.1047363
1983.295890410959,-6.421875
1983.2986301369863,-10.703613
1983.3013698630136,-8.381836
1983.304109589041,-6.750244
1983.3068493150686,-5.9023438
1983.309589041096,-3.5895996
1983.3123287671233,-3.239502
1983.3150684931506,-2.9719238
1983.317808219178,-1.4553223
1983.3205479452056,-1.1186523
1983.323287671233,-1.4492188
1983.3260273972603,-1.291748
1983.3287671232877,-2.1047363
1983.331506849315,-3.1621094
1983.3342465753424,-3.4455566
1983.33698630137,-4.534912
1983.3397260273973,-4.197754
1983.3424657534247,-3.805664
1983.345205479452,-3.262207
1983.3479452054794,-3.3273926
1983.3506849315067,-2.7250977
1983.3534246575343,-6.511963
1983.3561643835617,-2.3857422
1983.358904109589,-0.73950195
1983.3616438356164,-0.6286621
1983.3643835616438,0.9111328
1983.3671232876711,1.0751953
1983.3698630136987,0.5583496
1983.372602739726,0.35302734
1983.3753424657534,1.0200195
1983.3780821917808,1.859375
1983.3808219178081,3.0148926
1983.3835616438357,3.616455
1983.386301369863,4.484375
1983.3890410958904,5.404297
1983.3917808219178,6.031494
1983.3945205479451,4.6083984
1983.3972602739725,2.614746
1983.4,4.284424
1983.4027397260274,4.581543
1983.4054794520548,5.5878906
1983.4082191780822,6.5620117
1983.4109589041095,8.385986
1983.4136986301369,9.39917
1983.4164383561645,9.878906
1983.4191780821918,10.813721
1983.4219178082192,12.359863
1983.4246575342465,13.245361
1983.427397260274,12.236572
1983.4301369863015,12.085205
1983.4328767123288,12.311279
1983.4356164383562,12.595703
1983.4383561643835,13.088867
1983.441095890411,13.236816
1983.4438356164383,13.223389
1983.4465753424658,13.426025
1983.4493150684932,13.889893
1983.4520547945206,14.325684
1983.454794520548,14.935547
1983.4575342465753,15.069336
1983.4602739726026,15.35376
1983.4630136986302,15.560303
1983.4657534246576,15.9765625
1983.468493150685,16.162842
