# year, Ztot_c_result_anom
1999.1205479452055,-2.5442486
1999.2027397260274,-1.3088266
1999.2849315068493,-0.78949827
1999.3698630136987,-0.76249796
1999.4520547945206,-1.268764
1999.5369863013698,-3.0640297
1999.6219178082192,-5.7013245
1999.704109589041,-4.9927187
1999.7890410958903,-5.40001
1999.8712328767124,-6.3286753
1999.9561643835616,-6.004581
2000.0409836065573,-3.6859882
2000.122950819672,-2.5530632
2000.204918032787,-1.5410409
2000.2868852459017,-0.97251487
2000.3715846994535,-0.8285006
2000.4535519125684,-1.4889504
2000.5382513661202,-2.0338588
2000.622950819672,-2.9244404
2000.704918032787,-4.2535324
2000.7896174863388,-6.9091463
2000.8715846994535,-5.1947575
2000.9562841530055,-3.5221763
2001.041095890411,-1.7064743
2001.1205479452055,-1.124754
2001.2027397260274,-0.75799537
2001.2849315068493,-0.52586895
2001.3698630136987,-0.6948524
2001.4520547945206,-1.4346111
2001.5369863013698,-2.0397017
2001.6219178082192,-3.509305
2001.704109589041,-4.025688
2001.7890410958903,-4.00893
2001.8712328767124,-2.6866455
2001.9561643835616,-3.1975136
2002.041095890411,-2.252985
2002.1205479452055,-1.5271642
2002.2027397260274,-0.8696419
2002.2849315068493,-0.6773662
2002.3698630136987,-0.8642737
2002.4520547945206,-1.9067616
2002.5369863013698,-3.391067
2002.6219178082192,-5.071203
2002.704109589041,-7.130707
2002.7890410958903,-4.9713545
2002.8712328767124,-1.0626583
2002.9561643835616,-1.722208
2003.041095890411,-0.21539783
2003.1205479452055,0.3059554
2003.2027397260274,0.29487133
2003.2849315068493,0.2134614
2003.3698630136987,0.4548415
2003.4520547945206,-0.100156784
2003.5369863013698,-1.5158241
2003.6219178082192,-3.5083008
2003.704109589041,-3.0586681
2003.7890410958903,-4.2642145
2003.8712328767124,-6.6962023
2003.9561643835616,-6.3961477
2004.0409836065573,-4.333476
2004.122950819672,-2.9784653
2004.204918032787,-1.7383062
2004.2868852459017,-1.0135084
2004.3715846994535,-0.9897164
2004.4535519125684,-1.2983809
2004.5382513661202,-0.3670349
2004.622950819672,-4.946248
2004.704918032787,-8.776349
2004.7896174863388,-12.616879
2004.8715846994535,-11.60306
2004.9562841530055,-8.164122
2005.041095890411,-5.0278835
2005.1205479452055,-3.1725383
2005.2027397260274,-1.9201038
2005.2849315068493,-1.0624428
2005.3698630136987,-0.7307807
2005.4520547945206,-1.6142677
2005.5369863013698,-2.511506
2005.6219178082192,-3.5252337
2005.704109589041,-4.8257675
2005.7890410958903,-4.295746
2005.8712328767124,-2.535205
2005.9561643835616,-4.3095875
2006.041095890411,-3.4734707
2006.1205479452055,-2.524684
2006.2027397260274,-1.5487236
2006.2849315068493,-0.7849928
2006.3698630136987,-0.65763533
2006.4520547945206,-1.1596676
2006.5369863013698,-2.257392
2006.6219178082192,-4.5394454
2006.704109589041,-3.8496733
2006.7890410958903,-4.1473284
2006.8712328767124,-2.5955982
2006.9561643835616,-1.6857395
2007.041095890411,-1.623106
2007.1205479452055,-1.2113991
2007.2027397260274,-0.4409002
2007.2849315068493,-0.03093326
2007.3698630136987,-0.24403524
2007.4520547945206,-0.027148962
2007.5369863013698,1.0993056
2007.6219178082192,-1.3717046
2007.704109589041,-3.9366426
2007.7890410958903,-3.357154
2007.8712328767124,-2.776637
2007.9561643835616,-1.871747
2008.0409836065573,-1.2681684
2008.122950819672,-1.191014
2008.204918032787,-0.71613646
2008.2868852459017,-0.56380486
2008.3715846994535,-0.71773
2008.4535519125684,-0.78542054
2008.5382513661202,-1.3182642
2008.622950819672,-4.776243
2008.704918032787,-6.093111
2008.7896174863388,-4.1214237
2008.8715846994535,-5.005678
2008.9562841530055,-4.4126587
2009.041095890411,-1.9950328
2009.1205479452055,-1.419425
2009.2027397260274,-0.6930169
2009.2849315068493,-0.4460737
2009.3698630136987,-0.54538393
2009.4520547945206,-0.74071157
2009.5369863013698,-1.1555536
2009.6219178082192,-1.848959
2009.704109589041,-2.8545837
2009.7890410958903,-3.8105764
2009.8712328767124,-5.3153152
2009.9561643835616,-3.4602976
2010.041095890411,-2.55274
2010.1205479452055,-2.0395515
2010.2027397260274,-1.3382941
2010.2849315068493,-0.78942525
2010.3698630136987,-0.79472595
2010.4520547945206,-1.3555661
2010.5369863013698,-0.9584961
2010.6219178082192,-1.6884589
2010.704109589041,-3.7250156
2010.7890410958903,-4.4074945
2010.8712328767124,-6.3748484
2010.9561643835616,-5.7029243
2011.041095890411,-3.6533175
2011.1205479452055,-2.3915858
2011.2027397260274,-1.1587732
2011.2849315068493,-0.5029434
2011.3698630136987,-0.7322942
2011.4520547945206,-1.2911367
2011.5369863013698,-1.358506
2011.6219178082192,-2.1838307
2011.704109589041,-4.572591
2011.7890410958903,-7.2048445
2011.8712328767124,-8.478548
2011.9561643835616,-6.880876
2012.0409836065573,-4.783696
2012.122950819672,-3.2854638
2012.204918032787,-1.895483
2012.2868852459017,-1.060858
2012.3715846994535,-1.0018378
2012.4535519125684,-1.774237
2012.5382513661202,-3.3659215
2012.622950819672,-6.134156
2012.704918032787,-7.9606895
2012.7896174863388,-8.793148
2012.8715846994535,-7.45689
2012.9562841530055,-6.3505125
2013.041095890411,-3.8715093
2013.1205479452055,-2.6687326
2013.2027397260274,-1.6286235
2013.2849315068493,-0.90773094
2013.3698630136987,-0.9154705
2013.4520547945206,-2.0969427
2013.5369863013698,-3.255396
2013.6219178082192,-5.858399
2013.704109589041,-9.363125
2013.7890410958903,-10.137335
2013.8712328767124,-7.6144266
2013.9561643835616,-5.7230315
2014.041095890411,-3.6753051
2014.1205479452055,-2.4715402
2014.2027397260274,-1.449079
2014.2849315068493,-0.8521595
2014.3698630136987,-0.6847097
2014.4520547945206,-1.4647981
2014.5369863013698,-3.1525712
2014.6219178082192,-5.786227
2014.704109589041,-8.080397
2014.7890410958903,-5.0350523
2014.8712328767124,-3.367816
2014.9561643835616,-1.5852823
2015.041095890411,-0.2766056
2015.1205479452055,-0.48553157
2015.2027397260274,-0.14720583
2015.2849315068493,0.0045665503
2015.3698630136987,-0.0691365
2015.4520547945206,-1.0541201
2015.5369863013698,-2.5687916
2015.6219178082192,-5.176284
2015.704109589041,-5.867522
2015.7890410958903,-8.230421
2015.8712328767124,-8.986579
2015.9561643835616,-6.2167687
2016.0409836065573,-3.969171
2016.122950819672,-2.6956704
2016.204918032787,-1.2466575
2016.2868852459017,-0.5709357
2016.3715846994535,-0.6631283
2016.4535519125684,-1.490681
2016.5382513661202,-3.0401168
2016.622950819672,-4.971217
2016.704918032787,-7.9912257
2016.7896174863388,-9.688646
2016.8715846994535,-7.6422224
2016.9562841530055,-5.276661
2017.041095890411,-2.944326
2017.1205479452055,-1.5288706
2017.2027397260274,-0.7122816
2017.2849315068493,-0.5239495
2017.3698630136987,-0.6717038
2017.4520547945206,-0.84943414
2017.5369863013698,-1.3585875
2017.6219178082192,-2.5212588
2017.704109589041,-3.990737
2017.7890410958903,-6.7372046
2017.8712328767124,-6.8714705
2017.9561643835616,-5.8306336
2018.041095890411,-3.70547
2018.1205479452055,-2.3086565
2018.2027397260274,-1.4383681
2018.2849315068493,-0.7886094
2018.3698630136987,-0.7698941
2018.4520547945206,-1.6654484
2018.5369863013698,-1.965646
2018.6219178082192,-4.646056
2018.704109589041,-3.926817
2018.7890410958903,-5.4476643
2018.8712328767124,-9.319136
2018.9561643835616,-7.4235063
2019.041095890411,-4.859527
2019.1205479452055,-3.0085685
2019.2027397260274,-1.8205703
2019.2849315068493,-1.0070819
2019.3698630136987,-0.9833796
2019.4520547945206,-1.5768927
2019.5369863013698,-2.5923662
2019.6219178082192,-6.1552806
2019.704109589041,-9.365408
2019.7890410958903,-10.791167
2019.8712328767124,-10.33
2019.9561643835616,-7.118355
2020.0409836065573,-4.173554
2020.122950819672,-2.5577111
2020.204918032787,-1.4842044
2020.2868852459017,-0.8225288
2020.3715846994535,-0.48512304
2020.4535519125684,-0.9310769
2020.5382513661202,-1.6663952
2020.622950819672,-3.311006
2020.704918032787,-5.004546
2020.7896174863388,-7.217963
2020.8715846994535,-7.079918
2020.9562841530055,-5.4629655
2021.041095890411,-3.1318045
2021.1205479452055,-2.1197839
2021.2027397260274,-1.3435671
2021.2849315068493,-0.8045355
2021.3698630136987,-0.84981453
2021.4520547945206,-2.0905945
2021.5369863013698,-4.4794645
2021.6219178082192,-8.100474
2021.704109589041,-10.611667
2021.7890410958903,-10.151781
2021.8712328767124,-9.714178
2021.9561643835616,-6.1618834
2022.041095890411,-3.9033167
2022.1205479452055,-2.7908344
2022.2027397260274,-1.6803142
2022.2849315068493,-0.9360187
2022.3698630136987,-0.96218085
2022.4520547945206,-1.7440367
2022.5369863013698,-3.400854
2022.6219178082192,-6.5276957
2022.704109589041,-7.550714
2022.7890410958903,-6.9991503
2022.8712328767124,-6.357089
2022.9561643835616,-5.218225
2023.041095890411,-2.5570083
2023.1205479452055,-1.6370013
2023.2027397260274,-0.8190731
2023.2849315068493,-0.47443765
2023.3698630136987,-0.5688137
2023.4520547945206,-1.5310467
2023.5369863013698,-2.7815058
2023.6219178082192,-3.9112234
2023.704109589041,-4.148796
2023.7890410958903,-6.8603497
2023.8712328767124,-10.138078
2023.9561643835616,-7.423987
2024.0409836065573,-4.416563
2024.122950819672,-2.8045425
2024.204918032787,-1.6457374
2024.2868852459017,-0.9793796
2024.3715846994535,-0.97880477
2024.4535519125684,-1.7320149
2024.5382513661202,-2.1277623
2024.622950819672,-3.6706305
2024.704918032787,-7.5966816
2024.7896174863388,-9.061799
2024.8715846994535,-9.304295
2024.9562841530055,-7.23024
2025.041095890411,-4.59268
2025.1205479452055,-2.8451576
2025.2027397260274,-1.5439748
2025.2849315068493,-0.89472526
2025.3698630136987,-0.8178003
2025.4520547945206,-1.9716483
2025.5369863013698,-4.1094255
2025.6219178082192,-6.0750113
2025.704109589041,-7.811421
2025.7890410958903,-6.020626
2025.8712328767124,-3.615285
2025.9561643835616,-3.5596404
2026.041095890411,-1.3113389
2026.1205479452055,-0.8063805
2026.2027397260274,-0.34500504
2026.2849315068493,-0.011900902
2026.3698630136987,-0.09308934
2026.4520547945206,-0.9382868
2026.5369863013698,-3.1842034
2026.6219178082192,-5.3654027
2026.704109589041,-5.466671
2026.7890410958903,-7.4298916
2026.8712328767124,-7.116555
2026.9561643835616,-5.614632
