# year, N3_n_anom
2033.5808219178082,-0.09685373
2033.5835616438355,-0.09749314
2033.5863013698631,-0.097850084
2033.5890410958905,-0.09812139
2033.5917808219178,-0.099627085
2033.5945205479452,-0.103277564
2033.5972602739726,-0.11103496
2033.6,-0.11689816
2033.6027397260275,-0.11991193
2033.6054794520549,-0.12577054
2033.6082191780822,-0.13262941
2033.6109589041096,-0.13982204
2033.613698630137,-0.15013771
2033.6164383561643,-0.1603789
2033.6191780821919,-0.16881225
2033.6219178082192,-0.17902015
2033.6246575342466,-0.18933398
2033.627397260274,-0.19450095
2033.6301369863013,-0.1949561
2033.6328767123289,-0.20045684
2033.6356164383562,-0.21189709
2033.6383561643836,-0.22640942
2033.641095890411,-0.23641744
2033.6438356164383,-0.2504261
2033.6465753424657,-0.27695325
2033.6493150684933,-0.29444838
2033.6520547945206,-0.3085507
2033.654794520548,-0.33115134
2033.6575342465753,-0.34634888
2033.6602739726027,-0.34957707
2033.66301369863,-0.3520009
2033.6657534246576,-0.3582612
2033.668493150685,-0.37237892
2033.6712328767123,-0.38764918
2033.6739726027397,-0.39307055
2033.676712328767,-0.38939932
2033.6794520547944,-0.38471562
2033.682191780822,-0.38249052
2033.6849315068494,-0.39288485
2033.6876712328767,-0.40891278
2033.690410958904,-0.41294944
2033.6931506849314,-0.4141876
2033.695890410959,-0.4297259
2033.6986301369864,-0.44808906
2033.7013698630137,-0.44567296
2033.704109589041,-0.4339794
2033.7068493150684,-0.43353355
2033.7095890410958,-0.44554406
2033.7123287671234,-0.45528042
2033.7150684931507,-0.46381932
2033.717808219178,-0.47020045
2033.7205479452055,-0.47819436
2033.7232876712328,-0.4798161
2033.7260273972602,-0.4731342
2033.7287671232878,-0.47308224
2033.731506849315,-0.48166156
2033.7342465753425,-0.4792086
2033.7369863013698,-0.46457314
2033.7397260273972,-0.4596812
2033.7424657534248,-0.46627855
2033.7452054794521,-0.4745959
2033.7479452054795,-0.48348022
2033.7506849315068,-0.48742732
2033.7534246575342,-0.49100652
2033.7561643835616,-0.49331465
2033.7589041095891,-0.49317807
2033.7616438356165,-0.47610927
2033.7643835616439,-0.46827748
2033.7671232876712,-0.48808116
2033.7698630136986,-0.4973965
2033.772602739726,-0.4876723
2033.7753424657535,-0.48195338
2033.7780821917809,-0.49131092
2033.7808219178082,-0.49193698
2033.7835616438356,-0.4745583
2033.786301369863,-0.46635288
2033.7890410958903,-0.465806
2033.7917808219179,-0.4626738
2033.7945205479452,-0.4589331
2033.7972602739726,-0.45156166
2033.8,-0.44526395
2033.8027397260273,-0.44352043
2033.805479452055,-0.43932384
2033.8082191780823,-0.4298988
2033.8109589041096,-0.41379553
2033.813698630137,-0.40239018
2033.8164383561643,-0.40090334
2033.8191780821917,-0.39689034
2033.8219178082193,-0.38709146
2033.8246575342466,-0.37272674
2033.827397260274,-0.36103654
2033.8301369863013,-0.35457572
2033.8328767123287,-0.3437609
2033.835616438356,-0.33969116
2033.8383561643836,-0.34357008
2033.841095890411,-0.3396407
2033.8438356164384,-0.32492152
2033.8465753424657,-0.31271505
2033.849315068493,-0.30605224
2033.8520547945207,-0.29784375
2033.854794520548,-0.28993356
2033.8575342465754,-0.28449968
2033.8602739726027,-0.27796215
2033.86301369863,-0.26886603
2033.8657534246574,-0.26164198
2033.868493150685,-0.25860044
2033.8712328767124,-0.24998513
2033.8739726027397,-0.23380104
2033.876712328767,-0.22177577
2033.8794520547945,-0.21034428
2033.8821917808218,-0.19938722
2033.8849315068494,-0.19117881
2033.8876712328768,-0.18217832
2033.890410958904,-0.17164192
2033.8931506849315,-0.16485746
2033.8958904109588,-0.15994754
2033.8986301369864,-0.15495594
2033.9013698630138,-0.1514295
2033.9041095890411,-0.14446312
2033.9068493150685,-0.13854855
2033.9095890410958,-0.13700965
2033.9123287671232,-0.135224
2033.9150684931508,-0.12792483
2033.9178082191781,-0.122432195
2033.9205479452055,-0.12154298
2033.9232876712329,-0.11874601
2033.9260273972602,-0.11622664
2033.9287671232876,-0.11265404
2033.9315068493152,-0.110488445
2033.9342465753425,-0.11038113
2033.9369863013699,-0.10606667
2033.9397260273972,-0.101611674
2033.9424657534246,-0.09892799
2033.945205479452,-0.097184554
2033.9479452054795,-0.095785126
2033.9506849315069,-0.093426436
2033.9534246575342,-0.092606306
2033.9561643835616,-0.09165378
2033.958904109589,-0.08915007
2033.9616438356165,-0.0862699
2033.964383561644,-0.08310509
2033.9671232876713,-0.080173
2033.9698630136986,-0.07579702
2033.972602739726,-0.073162064
2033.9753424657533,-0.07432291
2033.978082191781,-0.07280796
2033.9808219178083,-0.068477765
2033.9835616438356,-0.0668682
2033.986301369863,-0.064468116
2033.9890410958903,-0.062353417
2033.9917808219177,-0.061172925
2033.9945205479453,-0.059708524
2033.9972602739726,-0.057190966
2034.0,-0.050356798
2034.0027397260274,-0.048316054
2034.0054794520547,-0.046772372
2034.0082191780823,-0.04594284
2034.0109589041097,-0.045869477
2034.013698630137,-0.045064453
2034.0164383561644,-0.04360069
2034.0191780821917,-0.042350836
2034.021917808219,-0.041867916
2034.0246575342467,-0.041047703
2034.027397260274,-0.040848386
2034.0301369863014,-0.039957035
2034.0328767123287,-0.038703416
2034.035616438356,-0.037824888
