# year, O3_TA
1982.9095890410958,2468.4956
1982.9123287671232,2467.8003
1982.9150684931508,2467.5173
1982.9178082191781,2468.1794
1982.9205479452055,2468.6106
1982.9232876712329,2466.6218
1982.9260273972602,2464.8987
1982.9287671232876,2465.276
1982.9315068493152,2466.053
1982.9342465753425,2463.2502
1982.9369863013699,2462.103
1982.9397260273972,2462.3303
1982.9424657534246,2461.8433
1982.945205479452,2461.1929
1982.9479452054795,2461.013
1982.9506849315069,2460.8423
1982.9534246575342,2459.9153
1982.9561643835616,2459.4407
1982.958904109589,2459.6238
1982.9616438356165,2459.0078
1982.964383561644,2457.8281
1982.9671232876713,2457.2024
1982.9698630136986,2456.8274
1982.972602739726,2456.5374
1982.9753424657533,2456.2766
1982.978082191781,2452.8884
1982.9808219178083,2451.0305
1982.9835616438356,2450.817
1982.986301369863,2452.0176
1982.9890410958903,2452.4517
1982.9917808219177,2451.8892
1982.9945205479453,2450.4355
1982.9972602739726,2450.9329
1983.0,2451.3625
1983.0027397260274,2451.558
1983.0054794520547,2451.3882
1983.0082191780823,2451.081
1983.0109589041097,2450.9895
1983.013698630137,2450.907
1983.0164383561644,2451.0356
1983.0191780821917,2450.778
1983.021917808219,2450.6858
1983.0246575342467,2450.9695
1983.027397260274,2450.7869
1983.0301369863014,2450.745
1983.0328767123287,2451.5293
1983.035616438356,2452.076
1983.0383561643835,2451.5686
1983.041095890411,2450.6206
1983.0438356164384,2450.1338
1983.0465753424658,2448.0762
1983.0493150684931,2449.3052
1983.0520547945205,2450.13
1983.054794520548,2449.5127
1983.0575342465754,2449.088
1983.0602739726028,2449.2483
1983.0630136986301,2449.03
1983.0657534246575,2448.3872
1983.0684931506848,2444.1934
1983.0712328767124,2441.8757
1983.0739726027398,2445.1873
1983.0767123287671,2446.2666
1983.0794520547945,2447.1401
1983.0821917808219,2446.5073
1983.0849315068492,2446.2136
1983.0876712328768,2445.8745
1983.0904109589042,2443.751
1983.0931506849315,2444.4028
1983.0958904109589,2443.033
1983.0986301369862,2443.01
1983.1013698630136,2430.3613
1983.1041095890412,2434.6235
1983.1068493150685,2437.5325
1983.109589041096,2439.5798
1983.1123287671232,2439.5388
1983.1150684931506,2440.1592
1983.1178082191782,2440.7202
1983.1205479452055,2439.6235
1983.123287671233,2434.2085
1983.1260273972603,2430.4075
1983.1287671232876,2432.2563
1983.131506849315,2434.572
1983.1342465753426,2437.335
1983.13698630137,2437.3447
1983.1397260273973,2437.7651
1983.1424657534246,2439.67
1983.145205479452,2438.9707
1983.1479452054793,2437.5574
1983.150684931507,2437.4758
1983.1534246575343,2438.12
1983.1561643835616,2438.0898
1983.158904109589,2437.5842
1983.1616438356164,2436.3008
1983.164383561644,2435.4702
1983.1671232876713,2435.4836
1983.1698630136987,2438.126
1983.172602739726,2438.28
1983.1753424657534,2437.685
1983.1780821917807,2438.568
1983.1808219178083,2434.294
1983.1835616438357,2433.6445
1983.186301369863,2435.7095
1983.1890410958904,2437.5034
1983.1917808219177,2436.358
1983.194520547945,2436.4443
1983.1972602739727,2436.2944
1983.2,2428.149
1983.2027397260274,2434.2114
1983.2054794520548,2437.013
1983.2082191780821,2436.204
1983.2109589041097,2431.0024
1983.213698630137,2432.3352
1983.2164383561644,2434.5015
1983.2191780821918,2433.1118
1983.2219178082191,2433.4353
1983.2246575342465,2433.6262
1983.227397260274,2432.3093
1983.2301369863014,2432.7183
1983.2328767123288,2430.887
1983.2356164383561,2431.2456
1983.2383561643835,2433.3362
1983.2410958904109,2432.9302
1983.2438356164384,2431.3127
1983.2465753424658,2427.3215
1983.2493150684932,2426.2942
1983.2520547945205,2427.8748
1983.2547945205479,2429.1821
1983.2575342465752,2428.5825
1983.2602739726028,2420.9841
1983.2630136986302,2422.4866
1983.2657534246575,2424.8647
1983.268493150685,2421.9194
1983.2712328767122,2421.598
1983.2739726027398,2423.163
1983.2767123287672,2418.2622
1983.2794520547945,2419.6013
1983.282191780822,2421.7173
1983.2849315068493,2420.2114
1983.2876712328766,2415.8115
1983.2904109589042,2419.9119
1983.2931506849316,2418.0151
1983.295890410959,2418.124
1983.2986301369863,2413.7122
1983.3013698630136,2415.9077
1983.304109589041,2417.3977
1983.3068493150686,2418.4702
1983.309589041096,2419.581
1983.3123287671233,2420.1458
1983.3150684931506,2420.1057
1983.317808219178,2420.9817
1983.3205479452056,2421.5344
1983.323287671233,2422.1023
1983.3260273972603,2422.435
1983.3287671232877,2421.3718
1983.331506849315,2420.173
1983.3342465753424,2418.7202
1983.33698630137,2417.7288
1983.3397260273973,2418.276
1983.3424657534247,2418.7341
1983.345205479452,2418.9297
1983.3479452054794,2418.4302
1983.3506849315067,2418.6155
1983.3534246575343,2413.9512
1983.3561643835617,2417.4917
1983.358904109589,2418.4321
1983.3616438356164,2418.835
1983.3643835616438,2419.4575
1983.3671232876711,2419.996
1983.3698630136987,2420.2356
1983.372602739726,2420.8037
1983.3753424657534,2421.2537
1983.3780821917808,2422.13
1983.3808219178081,2422.94
1983.3835616438357,2424.1028
1983.386301369863,2424.978
1983.3890410958904,2425.44
1983.3917808219178,2425.1099
1983.3945205479451,2424.6711
1983.3972602739725,2422.7812
1983.4,2424.5425
1983.4027397260274,2425.042
1983.4054794520548,2425.604
1983.4082191780822,2427.0012
1983.4109589041095,2428.866
1983.4136986301369,2430.251
1983.4164383561645,2431.2283
1983.4191780821918,2432.092
1983.4219178082192,2432.8057
1983.4246575342465,2432.9656
1983.427397260274,2432.9492
1983.4301369863015,2433.3909
1983.4328767123288,2433.8127
1983.4356164383562,2434.2039
1983.4383561643835,2434.7065
1983.441095890411,2435.3518
1983.4438356164383,2435.7827
1983.4465753424658,2436.1016
1983.4493150684932,2436.4453
1983.4520547945206,2436.8503
1983.454794520548,2437.232
1983.4575342465753,2437.7998
1983.4602739726026,2438.285
1983.4630136986302,2438.7861
1983.4657534246576,2439.2827
1983.468493150685,2439.6106
1983.4712328767123,2440.0522
1983.4739726027397,2440.4692
1983.4767123287672,2440.8516
1983.4794520547946,2441.3984
1983.482191780822,2441.7468
1983.4849315068493,2442.33
1983.4876712328767,2442.9724
1983.490410958904,2443.426
1983.4931506849316,2443.8706
1983.495890410959,2444.1838
1983.4986301369863,2444.2798
1983.5013698630137,2444.8162
1983.504109589041,2445.161
1983.5068493150684,2445.4055
1983.509589041096,2445.716
1983.5123287671233,2446.2253
1983.5150684931507,2447.0532
1983.517808219178,2447.495
1983.5205479452054,2447.6348
1983.5232876712328,2448.093
1983.5260273972603,2448.599
1983.5287671232877,2449.0984
1983.531506849315,2449.4136
1983.5342465753424,2449.531
1983.5369863013698,2449.7966
1983.5397260273974,2450.244
1983.5424657534247,2450.5474
1983.545205479452,2450.8398
1983.5479452054794,2451.3162
1983.5506849315068,2451.6858
1983.5534246575342,2451.8862
1983.5561643835617,2452.0952
1983.558904109589,2452.3748
1983.5616438356165,2452.7605
1983.5643835616438,2452.919
1983.5671232876712,2453.2056
1983.5698630136985,2453.517
1983.572602739726,2453.7285
1983.5753424657535,2453.8953
1983.5780821917808,2454.1487
1983.5808219178082,2454.425
1983.5835616438355,2454.8047
1983.5863013698631,2455.175
1983.5890410958905,2455.38
1983.5917808219178,2455.5107
1983.5945205479452,2455.672
1983.5972602739726,2456.0767
1983.6,2456.2478
1983.6027397260275,2456.1343
1983.6054794520549,2456.347
1983.6082191780822,2456.8066
1983.6109589041096,2456.911
1983.613698630137,2456.888
1983.6164383561643,2457.1445
1983.6191780821919,2457.5325
1983.6219178082192,2457.705
1983.6246575342466,2457.8599
1983.627397260274,2457.9856
1983.6301369863013,2458.255
1983.6328767123289,2458.5347
1983.6356164383562,2458.71
1983.6383561643836,2458.9739
1983.641095890411,2459.272
1983.6438356164383,2459.446
1983.6465753424657,2459.5261
1983.6493150684933,2459.6272
1983.6520547945206,2459.6538
1983.654794520548,2459.5046
1983.6575342465753,2459.578
1983.6602739726027,2459.9126
1983.66301369863,2460.1458
1983.6657534246576,2460.2786
1983.668493150685,2460.4421
1983.6712328767123,2460.58
1983.6739726027397,2460.8909
1983.676712328767,2461.0918
1983.6794520547944,2460.933
1983.682191780822,2461.0603
1983.6849315068494,2461.249
1983.6876712328767,2461.0894
1983.690410958904,2461.1746
1983.6931506849314,2461.3767
