# year, O3_c
1995.6849315068494,2153.8032
1995.6876712328767,2154.1912
1995.690410958904,2154.4958
1995.6931506849314,2154.3054
1995.695890410959,2154.468
1995.6986301369864,2155.2603
1995.7013698630137,2155.577
1995.704109589041,2155.386
1995.7068493150684,2155.542
1995.7095890410958,2155.7207
1995.7123287671234,2156.1301
1995.7150684931507,2156.4658
1995.717808219178,2156.342
1995.7205479452055,2156.3718
1995.7232876712328,2156.0386
1995.7260273972602,2155.6228
1995.7287671232878,2156.0156
1995.731506849315,2156.2788
1995.7342465753425,2155.9824
1995.7369863013698,2156.1863
1995.7397260273972,2156.239
1995.7424657534248,2156.686
1995.7452054794521,2156.7913
1995.7479452054795,2155.6475
1995.7506849315068,2155.5198
1995.7534246575342,2155.9521
1995.7561643835616,2156.1191
1995.7589041095891,2156.4663
1995.7616438356165,2156.3896
1995.7643835616439,2155.937
1995.7671232876712,2155.542
1995.7698630136986,2155.3352
1995.772602739726,2155.5225
1995.7753424657535,2155.938
1995.7780821917809,2157.0166
1995.7808219178082,2156.914
1995.7835616438356,2156.045
1995.786301369863,2155.7776
1995.7890410958903,2155.524
1995.7917808219179,2155.2974
1995.7945205479452,2155.699
1995.7972602739726,2156.9648
1995.8,2157.5967
1995.8027397260273,2158.5461
1995.805479452055,2159.117
1995.8082191780823,2158.634
1995.8109589041096,2158.6187
1995.813698630137,2159.4817
1995.8164383561643,2159.5986
1995.8191780821917,2159.6804
1995.8219178082193,2159.6912
1995.8246575342466,2160.1128
1995.827397260274,2160.4482
1995.8301369863013,2160.5747
1995.8328767123287,2160.6416
1995.835616438356,2160.8328
1995.8383561643836,2160.7185
1995.841095890411,2160.7534
1995.8438356164384,2161.0273
1995.8465753424657,2161.2
1995.849315068493,2161.552
1995.8520547945207,2161.2383
1995.854794520548,2161.369
1995.8575342465754,2161.4312
1995.8602739726027,2160.7324
1995.86301369863,2160.5635
1995.8657534246574,2160.8694
1995.868493150685,2160.9988
1995.8712328767124,2160.7188
1995.8739726027397,2160.2598
1995.876712328767,2160.0771
1995.8794520547945,2160.4204
1995.8821917808218,2160.2148
1995.8849315068494,2159.4392
1995.8876712328768,2158.4697
1995.890410958904,2158.6707
1995.8931506849315,2158.399
1995.8958904109588,2157.817
1995.8986301369864,2157.9282
1995.9013698630138,2157.2607
1995.9041095890411,2157.2024
1995.9068493150685,2156.0276
1995.9095890410958,2154.5225
1995.9123287671232,2154.6545
1995.9150684931508,2154.8
1995.9178082191781,2154.567
1995.9205479452055,2154.1353
1995.9232876712329,2153.1448
1995.9260273972602,2152.3923
1995.9287671232876,2152.5374
1995.9315068493152,2152.7585
1995.9342465753425,2152.7969
1995.9369863013699,2152.032
1995.9397260273972,2152.1519
1995.9424657534246,2152.5815
1995.945205479452,2152.1636
1995.9479452054795,2151.2646
1995.9506849315069,2150.9727
1995.9534246575342,2151.0562
1995.9561643835616,2151.0952
1995.958904109589,2150.4058
1995.9616438356165,2149.9104
1995.964383561644,2150.031
1995.9671232876713,2149.621
1995.9698630136986,2148.4329
1995.972602739726,2147.4546
1995.9753424657533,2147.45
1995.978082191781,2146.7615
1995.9808219178083,2146.5154
1995.9835616438356,2145.8696
1995.986301369863,2145.0718
1995.9890410958903,2143.943
1995.9917808219177,2143.58
1995.9945205479453,2143.6545
1995.9972602739726,2142.745
1996.0,2140.8755
1996.0027322404371,2138.6733
1996.0054644808743,2134.616
1996.0081967213114,2135.5562
1996.0109289617487,2138.8215
1996.0136612021859,2136.2595
1996.016393442623,2133.0986
1996.01912568306,2135.7957
1996.0218579234972,2134.9028
1996.0245901639344,2133.907
1996.0273224043715,2136.0972
1996.0300546448088,2136.6802
1996.032786885246,2135.316
1996.035519125683,2135.4749
1996.0382513661202,2136.5984
1996.0409836065573,2133.7207
1996.0437158469945,2129.9675
1996.0464480874316,2133.492
1996.049180327869,2135.5933
1996.051912568306,2134.9255
1996.0546448087432,2133.2285
1996.0573770491803,2133.2603
1996.0601092896175,2134.3882
1996.0628415300546,2134.5352
1996.0655737704917,2132.521
1996.068306010929,2131.2312
1996.0710382513662,2130.3894
1996.0737704918033,2132.0483
1996.0765027322404,2132.9133
1996.0792349726776,2130.7815
1996.0819672131147,2127.0122
1996.0846994535518,2129.6028
1996.0874316939892,2130.442
1996.0901639344263,2132.0322
1996.0928961748634,2133.7827
1996.0956284153006,2134.0806
1996.0983606557377,2133.7087
1996.1010928961748,2135.0183
1996.103825136612,2136.0361
1996.1065573770493,2136.8486
1996.1092896174864,2137.0261
1996.1120218579235,2136.332
1996.1147540983607,2136.8093
1996.1174863387978,2137.9358
1996.120218579235,2137.459
1996.122950819672,2134.215
1996.1256830601094,2132.9924
1996.1284153005465,2134.4995
1996.1311475409836,2134.762
1996.1338797814208,2134.3013
1996.136612021858,2132.248
1996.139344262295,2132.8113
1996.1420765027322,2135.76
1996.1448087431695,2136.8135
1996.1475409836066,2134.3787
1996.1502732240438,2126.7397
1996.1530054644809,2135.0132
1996.155737704918,2137.0269
1996.1584699453551,2135.5842
1996.1612021857923,2134.352
1996.1639344262296,2132.2988
1996.1666666666667,2134.1763
1996.1693989071039,2135.518
1996.172131147541,2130.4326
1996.1748633879781,2129.8638
1996.1775956284152,2133.0479
1996.1803278688524,2132.8445
1996.1830601092897,2134.0403
1996.1857923497269,2134.1804
1996.188524590164,2132.7683
1996.191256830601,2128.8872
1996.1939890710382,2129.917
1996.1967213114754,2131.0754
1996.1994535519125,2131.978
1996.2021857923498,2131.4148
1996.204918032787,2131.2314
1996.207650273224,2132.333
1996.2103825136612,2133.3367
1996.2131147540983,2132.9326
1996.2158469945355,2134.6313
1996.2185792349726,2131.1755
1996.22131147541,2131.4731
1996.224043715847,2133.2957
1996.2267759562842,2131.6748
1996.2295081967213,2125.4507
1996.2322404371585,2131.5803
1996.2349726775956,2132.6711
1996.2377049180327,2129.792
1996.24043715847,2131.1213
1996.2431693989072,2132.4976
1996.2459016393443,2131.9053
1996.2486338797814,2131.5088
1996.2513661202186,2130.2422
1996.2540983606557,2127.8376
1996.2568306010928,2129.6023
1996.25956284153,2131.7253
1996.2622950819673,2133.2273
1996.2650273224044,2130.296
1996.2677595628415,2129.4866
1996.2704918032787,2132.1404
1996.2732240437158,2132.1597
1996.275956284153,2126.7039
1996.27868852459,2122.9412
1996.2814207650274,2131.3464
1996.2841530054645,2133.0808
1996.2868852459017,2129.195
1996.2896174863388,2126.3784
1996.292349726776,2129.9192
1996.295081967213,2132.1167
1996.2978142076502,2128.8647
1996.3005464480875,2129.915
1996.3032786885246,2132.0818
1996.3060109289618,2133.2178
1996.308743169399,2129.52
1996.311475409836,2130.2695
1996.3142076502731,2130.3025
1996.3169398907103,2131.318
1996.3196721311476,2127.328
1996.3224043715848,2127.979
1996.3251366120219,2130.2786
1996.327868852459,2123.281
1996.3306010928961,2115.6033
1996.3333333333333,2125.5444
