# year, O3_pH_anom
2020.7896174863388,-0.08217335
2020.8715846994535,-0.081186295
2020.9562841530055,-0.08692169
2021.041095890411,-0.091659546
2021.1205479452055,-0.09841156
2021.2027397260274,-0.10321903
2021.2849315068493,-0.1058712
2021.3698630136987,-0.10468483
2021.4520547945206,-0.10394764
2021.5369863013698,-0.111083984
2021.6219178082192,-0.11541748
2021.704109589041,-0.107471466
2021.7890410958903,-0.09620571
2021.8712328767124,-0.09591293
2021.9561643835616,-0.09691143
2022.041095890411,-0.101382256
2022.1205479452055,-0.107167244
2022.2027397260274,-0.10247612
2022.2849315068493,-0.105127335
2022.3698630136987,-0.10748291
2022.4520547945206,-0.1006403
2022.5369863013698,-0.10338879
2022.6219178082192,-0.10300255
2022.704109589041,-0.09388161
2022.7890410958903,-0.08687973
2022.8712328767124,-0.0843153
2022.9561643835616,-0.09019756
2023.041095890411,-0.084955215
2023.1205479452055,-0.09094143
2023.2027397260274,-0.08930302
2023.2849315068493,-0.09269905
2023.3698630136987,-0.09247112
2023.4520547945206,-0.09573364
2023.5369863013698,-0.09739113
2023.6219178082192,-0.099069595
2023.704109589041,-0.088415146
2023.7890410958903,-0.08258057
2023.8712328767124,-0.09330559
2023.9561643835616,-0.10740757
2024.0409836065573,-0.10709858
2024.122950819672,-0.10878086
2024.204918032787,-0.11196804
2024.2868852459017,-0.110723495
2024.3715846994535,-0.11205673
2024.4535519125684,-0.110001564
2024.5382513661202,-0.1005106
2024.622950819672,-0.09634495
2024.704918032787,-0.09346008
2024.7896174863388,-0.085469246
2024.8715846994535,-0.09257603
2024.9562841530055,-0.103936195
2025.041095890411,-0.10739422
2025.1205479452055,-0.10578632
2025.2027397260274,-0.10543251
2025.2849315068493,-0.11073685
2025.3698630136987,-0.10573673
2025.4520547945206,-0.111554146
2025.5369863013698,-0.11536884
2025.6219178082192,-0.1118536
2025.704109589041,-0.101652145
2025.7890410958903,-0.09662819
2025.8712328767124,-0.09218693
2025.9561643835616,-0.09222603
2026.041095890411,-0.08523369
2026.1205479452055,-0.082886696
2026.2027397260274,-0.084527016
2026.2849315068493,-0.08560848
2026.3698630136987,-0.08905506
2026.4520547945206,-0.09600735
2026.5369863013698,-0.10848522
2026.6219178082192,-0.113482475
2026.704109589041,-0.1034832
2026.7890410958903,-0.09713268
2026.8712328767124,-0.102194786
2026.9561643835616,-0.1104126
2027.041095890411,-0.11372566
2027.1205479452055,-0.116475105
2027.2027397260274,-0.11969757
2027.2849315068493,-0.124671936
2027.3698630136987,-0.12894344
2027.4520547945206,-0.11739445
2027.5369863013698,-0.11995983
2027.6219178082192,-0.12436104
2027.704109589041,-0.11453152
2027.7890410958903,-0.103630066
2027.8712328767124,-0.101408005
2027.9561643835616,-0.11147213
2028.0409836065573,-0.11375141
2028.122950819672,-0.11643314
2028.204918032787,-0.12102604
2028.2868852459017,-0.11903381
2028.3715846994535,-0.118403435
2028.4535519125684,-0.11767483
2028.5382513661202,-0.11881065
2028.622950819672,-0.11972523
2028.704918032787,-0.10921669
2028.7896174863388,-0.09926891
2028.8715846994535,-0.099217415
2028.9562841530055,-0.11850643
2029.041095890411,-0.12619686
2029.1205479452055,-0.1278162
2029.2027397260274,-0.1258688
2029.2849315068493,-0.12908173
2029.3698630136987,-0.12811565
2029.4520547945206,-0.11921883
2029.5369863013698,-0.12042999
2029.6219178082192,-0.12247467
2029.704109589041,-0.11586475
2029.7890410958903,-0.10920048
2029.8712328767124,-0.11212921
2029.9561643835616,-0.11318016
2030.041095890411,-0.10846138
2030.1205479452055,-0.11250019
2030.2027397260274,-0.12343502
2030.2849315068493,-0.12265396
2030.3698630136987,-0.121029854
2030.4520547945206,-0.11842346
2030.5369863013698,-0.12468243
2030.6219178082192,-0.12823391
2030.704109589041,-0.11775303
2030.7890410958903,-0.11380482
2030.8712328767124,-0.11860943
2030.9561643835616,-0.13435364
2031.041095890411,-0.13165474
2031.1205479452055,-0.13529205
2031.2027397260274,-0.1306901
2031.2849315068493,-0.13319445
2031.3698630136987,-0.13405514
2031.4520547945206,-0.13059711
2031.5369863013698,-0.12875557
2031.6219178082192,-0.12626648
2031.704109589041,-0.11871624
2031.7890410958903,-0.11526775
2031.8712328767124,-0.11494255
2031.9561643835616,-0.12579346
2032.0409836065573,-0.12367058
2032.122950819672,-0.122306824
2032.204918032787,-0.11843777
2032.2868852459017,-0.112213135
2032.3715846994535,-0.11693382
2032.4535519125684,-0.12206936
2032.5382513661202,-0.121772766
2032.622950819672,-0.1225605
2032.704918032787,-0.11835861
2032.7896174863388,-0.11419487
2032.8715846994535,-0.1269579
2032.9562841530055,-0.13989544
2033.041095890411,-0.14216232
2033.1205479452055,-0.14796448
2033.2027397260274,-0.15071583
2033.2849315068493,-0.14626837
2033.3698630136987,-0.13904858
2033.4520547945206,-0.13030338
2033.5369863013698,-0.1380415
2033.6219178082192,-0.14203072
2033.704109589041,-0.13088512
2033.7890410958903,-0.12089157
2033.8712328767124,-0.1230793
2033.9561643835616,-0.13388443
2034.041095890411,-0.14456558
2034.1205479452055,-0.15648794
2034.2027397260274,-0.15046787
2034.2849315068493,-0.14507246
2034.3698630136987,-0.14741707
2034.4520547945206,-0.14068127
2034.5369863013698,-0.14104366
2034.6219178082192,-0.14504337
2034.704109589041,-0.14069462
2034.7890410958903,-0.13904572
2034.8712328767124,-0.13343048
2034.9561643835616,-0.13582516
2035.041095890411,-0.13113976
2035.1205479452055,-0.12864876
2035.2027397260274,-0.12524986
2035.2849315068493,-0.1278243
2035.3698630136987,-0.13430691
2035.4520547945206,-0.13017845
2035.5369863013698,-0.13499737
2035.6219178082192,-0.13586521
2035.704109589041,-0.1253004
2035.7890410958903,-0.1182394
2035.8712328767124,-0.121644974
2035.9561643835616,-0.1402092
2036.0409836065573,-0.15123367
2036.122950819672,-0.1605339
2036.204918032787,-0.1652174
2036.2868852459017,-0.1541295
2036.3715846994535,-0.1488533
2036.4535519125684,-0.14537144
2036.5382513661202,-0.14703465
2036.622950819672,-0.1433096
2036.704918032787,-0.14038658
2036.7896174863388,-0.13722897
2036.8715846994535,-0.13814259
2036.9562841530055,-0.15014839
2037.041095890411,-0.15188599
2037.1205479452055,-0.14656639
2037.2027397260274,-0.14488173
2037.2849315068493,-0.13754082
2037.3698630136987,-0.13770103
2037.4520547945206,-0.14105988
2037.5369863013698,-0.1431303
2037.6219178082192,-0.14104748
2037.704109589041,-0.13554955
2037.7890410958903,-0.12849712
2037.8712328767124,-0.13121986
2037.9561643835616,-0.14939976
2038.041095890411,-0.15563393
2038.1205479452055,-0.15436554
2038.2027397260274,-0.15460062
2038.2849315068493,-0.15661049
2038.3698630136987,-0.15071058
2038.4520547945206,-0.15014362
2038.5369863013698,-0.14936161
2038.6219178082192,-0.14607525
2038.704109589041,-0.13858986
2038.7890410958903,-0.1302681
2038.8712328767124,-0.12920094
2038.9561643835616,-0.13546371
2039.041095890411,-0.14281559
2039.1205479452055,-0.15114117
2039.2027397260274,-0.15193081
2039.2849315068493,-0.15264225
2039.3698630136987,-0.15382624
2039.4520547945206,-0.15566635
2039.5369863013698,-0.15828991
2039.6219178082192,-0.16259575
2039.704109589041,-0.15685272
2039.7890410958903,-0.15286446
2039.8712328767124,-0.16530323
2039.9561643835616,-0.1740799
2040.0409836065573,-0.1668396
2040.122950819672,-0.16607857
2040.204918032787,-0.16920805
2040.2868852459017,-0.16164398
2040.3715846994535,-0.15788269
2040.4535519125684,-0.1572175
2040.5382513661202,-0.15398598
2040.622950819672,-0.15109444
2040.704918032787,-0.1475544
2040.7896174863388,-0.14482307
2040.8715846994535,-0.15092945
2040.9562841530055,-0.16983128
2041.041095890411,-0.18010044
2041.1205479452055,-0.1815567
2041.2027397260274,-0.17349815
2041.2849315068493,-0.15507555
2041.3698630136987,-0.1520052
2041.4520547945206,-0.1498537
2041.5369863013698,-0.15524769
2041.6219178082192,-0.16028976
2041.704109589041,-0.15303898
2041.7890410958903,-0.15060425
2041.8712328767124,-0.15873146
2041.9561643835616,-0.16957664
2042.041095890411,-0.17099428
2042.1205479452055,-0.16923809
2042.2027397260274,-0.16651154
2042.2849315068493,-0.16414213
2042.3698630136987,-0.15668344
2042.4520547945206,-0.15042782
2042.5369863013698,-0.16079903
2042.6219178082192,-0.16538525
2042.704109589041,-0.15847778
2042.7890410958903,-0.15163994
2042.8712328767124,-0.1567316
2042.9561643835616,-0.16854191
2043.041095890411,-0.1784792
2043.1205479452055,-0.1754756
2043.2027397260274,-0.17292643
2043.2849315068493,-0.17624283
2043.3698630136987,-0.17689133
2043.4520547945206,-0.17013454
2043.5369863013698,-0.17106485
2043.6219178082192,-0.1721859
2043.704109589041,-0.16493607
2043.7890410958903,-0.15775013
2043.8712328767124,-0.15136623
2043.9561643835616,-0.15646648
2044.0409836065573,-0.15684032
2044.122950819672,-0.15578222
2044.204918032787,-0.15991592
