# year, Ptot_NPP_result
2026.6219178082192,19.314505
2026.704109589041,28.334044
2026.7890410958903,25.254025
2026.8712328767124,18.156185
2026.9561643835616,11.998959
2027.041095890411,7.3321676
2027.1205479452055,4.732243
2027.2027397260274,3.1871367
2027.2849315068493,3.092364
2027.3698630136987,5.1614666
2027.4520547945206,8.404099
2027.5369863013698,10.410904
2027.6219178082192,15.028358
2027.704109589041,24.465914
2027.7890410958903,28.728971
2027.8712328767124,18.828775
2027.9561643835616,11.972974
2028.0409836065573,7.549317
2028.122950819672,5.3537655
2028.204918032787,4.256249
2028.2868852459017,4.314003
2028.3715846994535,5.7105303
2028.4535519125684,9.093474
2028.5382513661202,14.163221
2028.622950819672,19.236647
2028.704918032787,29.406082
2028.7896174863388,29.285387
2028.8715846994535,17.510029
2028.9562841530055,9.859211
2029.041095890411,5.578058
2029.1205479452055,4.15765
2029.2027397260274,3.6483488
2029.2849315068493,5.041043
2029.3698630136987,7.306292
2029.4520547945206,8.846336
2029.5369863013698,12.52759
2029.6219178082192,17.051447
2029.704109589041,25.0962
2029.7890410958903,26.10814
2029.8712328767124,19.661873
2029.9561643835616,14.190112
2030.041095890411,9.004184
2030.1205479452055,6.0333977
2030.2027397260274,4.1809793
2030.2849315068493,4.604669
2030.3698630136987,6.1044145
2030.4520547945206,7.3125515
2030.5369863013698,10.442576
2030.6219178082192,19.153755
2030.704109589041,27.314322
2030.7890410958903,24.970741
2030.8712328767124,18.651522
2030.9561643835616,10.597359
2031.041095890411,7.327317
2031.1205479452055,5.0576363
2031.2027397260274,4.2241406
2031.2849315068493,4.596522
2031.3698630136987,7.0281177
2031.4520547945206,9.454152
2031.5369863013698,13.226735
2031.6219178082192,20.73816
2031.704109589041,29.439627
2031.7890410958903,27.194357
2031.8712328767124,19.085299
2031.9561643835616,11.845439
2032.0409836065573,8.558855
2032.122950819672,6.020168
2032.204918032787,4.34606
2032.2868852459017,4.501885
2032.3715846994535,6.137547
2032.4535519125684,8.31865
2032.5382513661202,15.396627
2032.622950819672,22.511173
2032.704918032787,26.814404
2032.7896174863388,23.187729
2032.8715846994535,13.625117
2032.9562841530055,8.918293
2033.041095890411,6.169332
2033.1205479452055,4.368423
2033.2027397260274,4.64915
2033.2849315068493,5.690731
2033.3698630136987,7.593463
2033.4520547945206,9.187478
2033.5369863013698,10.643815
2033.6219178082192,14.93116
2033.704109589041,23.033915
2033.7890410958903,25.018585
2033.8712328767124,17.785225
2033.9561643835616,10.597147
2034.041095890411,6.4309907
2034.1205479452055,4.556392
2034.2027397260274,4.1392827
2034.2849315068493,4.7164707
2034.3698630136987,7.1206994
2034.4520547945206,9.054591
2034.5369863013698,12.174587
2034.6219178082192,15.467548
2034.704109589041,19.096148
2034.7890410958903,20.205624
2034.8712328767124,20.809319
2034.9561643835616,14.383126
2035.041095890411,9.728703
2035.1205479452055,6.839452
2035.2027397260274,4.869897
2035.2849315068493,4.048685
2035.3698630136987,6.9739447
2035.4520547945206,10.375962
2035.5369863013698,13.432444
2035.6219178082192,21.816425
2035.704109589041,32.659573
2035.7890410958903,25.719997
2035.8712328767124,17.347204
2035.9561643835616,10.290125
2036.0409836065573,5.705056
2036.122950819672,3.651613
2036.204918032787,3.2004983
2036.2868852459017,5.0766244
2036.3715846994535,7.2793317
2036.4535519125684,7.746955
2036.5382513661202,9.409416
2036.622950819672,15.319846
2036.704918032787,18.712606
2036.7896174863388,22.831493
2036.8715846994535,19.139875
2036.9562841530055,10.690814
2037.041095890411,6.8825784
2037.1205479452055,4.524338
2037.2027397260274,3.4197702
2037.2849315068493,5.2352514
2037.3698630136987,7.590769
2037.4520547945206,7.556176
2037.5369863013698,10.382053
2037.6219178082192,20.316278
2037.704109589041,27.17449
2037.7890410958903,27.890253
2037.8712328767124,20.726345
2037.9561643835616,11.567436
2038.041095890411,7.3106575
2038.1205479452055,5.2400484
2038.2027397260274,4.012511
2038.2849315068493,3.7317917
2038.3698630136987,5.869341
2038.4520547945206,8.049513
2038.5369863013698,13.489265
2038.6219178082192,22.181583
2038.704109589041,27.821095
2038.7890410958903,27.726555
2038.8712328767124,22.794933
2038.9561643835616,13.837961
2039.041095890411,8.206468
2039.1205479452055,4.739676
2039.2027397260274,3.2956955
2039.2849315068493,4.358787
2039.3698630136987,6.0918818
2039.4520547945206,8.157242
2039.5369863013698,10.781576
2039.6219178082192,14.679751
2039.704109589041,19.823748
2039.7890410958903,20.185646
2039.8712328767124,12.95633
2039.9561643835616,8.685702
2040.0409836065573,6.42583
2040.122950819672,4.755175
2040.204918032787,3.9984047
2040.2868852459017,5.3165765
2040.3715846994535,7.777197
2040.4535519125684,8.653197
2040.5382513661202,15.129199
2040.622950819672,21.189247
2040.704918032787,23.185375
2040.7896174863388,21.035955
2040.8715846994535,15.312371
2040.9562841530055,9.93561
2041.041095890411,6.484901
2041.1205479452055,4.988794
2041.2027397260274,5.1022687
2041.2849315068493,6.0899353
2041.3698630136987,6.806285
2041.4520547945206,7.781529
2041.5369863013698,9.80474
2041.6219178082192,16.14806
2041.704109589041,24.164928
2041.7890410958903,23.335241
2041.8712328767124,17.954025
2041.9561643835616,11.902299
2042.041095890411,8.072767
2042.1205479452055,5.430796
2042.2027397260274,5.31923
2042.2849315068493,6.581734
2042.3698630136987,6.9271555
2042.4520547945206,7.987231
2042.5369863013698,10.1824045
2042.6219178082192,14.69074
2042.704109589041,22.0317
2042.7890410958903,26.779453
2042.8712328767124,19.8136
2042.9561643835616,12.989216
2043.041095890411,6.9728127
2043.1205479452055,5.4696302
2043.2027397260274,4.6903753
2043.2849315068493,4.9127703
2043.3698630136987,6.9914355
2043.4520547945206,9.718147
2043.5369863013698,12.567613
2043.6219178082192,17.720165
2043.704109589041,22.38611
2043.7890410958903,24.739412
2043.8712328767124,25.689337
2043.9561643835616,15.246899
2044.0409836065573,9.669878
2044.122950819672,6.385366
2044.204918032787,4.603596
2044.2868852459017,3.875587
2044.3715846994535,6.1190524
2044.4535519125684,8.587751
2044.5382513661202,10.710473
2044.622950819672,16.821003
2044.704918032787,26.114258
2044.7896174863388,27.490244
2044.8715846994535,22.757738
2044.9562841530055,13.266346
2045.041095890411,8.688215
2045.1205479452055,5.703902
2045.2027397260274,4.349159
2045.2849315068493,4.0218496
2045.3698630136987,6.6209803
2045.4520547945206,8.413499
2045.5369863013698,11.143184
2045.6219178082192,16.436428
2045.704109589041,25.046928
2045.7890410958903,23.594965
2045.8712328767124,16.295086
2045.9561643835616,9.781616
2046.041095890411,6.429255
2046.1205479452055,4.301133
2046.2027397260274,4.158288
2046.2849315068493,5.2063575
2046.3698630136987,6.5617766
2046.4520547945206,9.946275
2046.5369863013698,14.573928
2046.6219178082192,19.470465
2046.704109589041,25.235725
2046.7890410958903,25.436243
2046.8712328767124,20.567917
2046.9561643835616,12.365453
2047.041095890411,8.482489
2047.1205479452055,5.386634
2047.2027397260274,3.7948902
2047.2849315068493,4.058297
2047.3698630136987,5.7468195
2047.4520547945206,6.9796224
2047.5369863013698,8.787858
2047.6219178082192,15.052623
2047.704109589041,24.899366
2047.7890410958903,25.894072
2047.8712328767124,19.41878
2047.9561643835616,12.722595
2048.0409836065573,8.170303
2048.122950819672,4.926332
2048.2049180327867,3.428128
2048.2868852459014,4.498021
2048.3715846994537,7.0514917
2048.4535519125684,8.453897
2048.53825136612,10.763261
2048.622950819672,16.282711
2048.7049180327867,24.089544
2048.789617486339,26.503586
2048.8715846994537,20.747717
2048.9562841530055,12.644725
2049.041095890411,7.1239486
2049.1205479452055,5.1063066
2049.202739726027,4.171716
2049.2849315068493,5.601025
2049.3698630136987,6.8658094
2049.4520547945203,8.218512
2049.53698630137,11.687822
2049.621917808219,16.729982
2049.7041095890413,25.609934
2049.7890410958903,29.296757
2049.8712328767124,23.6737
2049.956164383562,13.784815
2050.041095890411,8.409281
2050.1205479452055,4.8065753
2050.202739726027,4.447215
2050.2849315068493,4.7906485
2050.3698630136987,6.0416865
2050.4520547945203,7.9097724
2050.53698630137,9.125285
2050.621917808219,17.488728
2050.7041095890413,28.198927
2050.7890410958903,28.31589
